"District";"Latitude";"Longitude"
"3";41.771520014;-87.58320449
"6";41.753153519;-87.664719216
"6";41.730077115;-87.616548673
"2";41.80171934;-87.630703621
"2";41.794003774;-87.622448757
"4";41.756309561;-87.56510787
"9";41.807705075;-87.66859051
"7";41.760811773;-87.64915025
"6";41.753562491;-87.661907683
"22";41.694672499;-87.652173053
"22";41.722059653;-87.662697289
"15";41.878903091;-87.745219036
"4";41.756430631;-87.561470724
"24";42.008006065;-87.660026072
"12";41.858663084;-87.669013782
"3";41.765738006;-87.613699619
"4";41.705937776;-87.536494847
"11";41.901879396;-87.717752034
"6";41.743199209;-87.624317581
"6";41.742297707;-87.67051873
"7";41.780650432;-87.65938867
"6";41.75398662;-87.664047225
"8";41.766062204;-87.683279663
"3";41.772643726;-87.608196828
"15";41.876119079;-87.749257913
"9";41.811490006;-87.69185893
"15";41.900354119;-87.7619229
"6";41.757677654;-87.605367282
"10";41.858941291;-87.717965782
"2";41.788786066;-87.622315729
"20";41.970151096;-87.696296545
"6";41.74602979;-87.643905834
"5";41.694120148;-87.627939823
"10";41.865514492;-87.704418218
"16";41.951651233;-87.789451903
"5";41.684400491;-87.659160312
"16";41.960563428;-87.76046611
"5";41.692659589;-87.617637943
"7";41.789767552;-87.663242465
"5";41.683165575;-87.62762384
"12";41.883312392;-87.706186343
"6";41.744226478;-87.643855503
"8";41.765344137;-87.701651272
"6";41.748869964;-87.605173631
"25";41.919181057;-87.78530748
"6";41.738978311;-87.647348511
"3";41.781629386;-87.614445908
"5";41.681357737;-87.620618587
"20";41.983119094;-87.700065979
"5";41.676294743;-87.616256254
"4";41.758536614;-87.586130225
"10";41.854655566;-87.6969631
"4";41.727145131;-87.587915469
"4";41.753629277;-87.549395585
"24";42.008643402;-87.690787126
"22";41.728414649;-87.666323944
"7";41.767867074;-87.654188915
"9";41.817727334;-87.69326043
"4";41.758607126;-87.561510616
"6";41.75035981;-87.606424773
"10";41.864153133;-87.704380163
"18";41.899189017;-87.625650736
"22";41.704108173;-87.650897952
"10";41.863363889;-87.705584688
"2";41.793579185;-87.615951604
"16";41.939103268;-87.78973864
"25";41.920850944;-87.771962342
"25";41.905801151;-87.725524365
"15";41.899453778;-87.752035309
"12";41.890086774;-87.704970539
"3";41.772397468;-87.61179955
"10";41.865150213;-87.694601228
"9";41.807627729;-87.677093616
"25";41.928317212;-87.756304448
"7";41.793347305;-87.65363763
